,K,batch_size,beta,epochs,scheduler_type,step_size,gamma,best_train_accuracy,best_eval_accuracy,best_train_loss,best_eval_loss,std_train_loss,std_eval_loss,mean_epoch_time,status
splm_optimizer__hinge_loss__2021_06_24__17_32_34,50,1000,10,20,step_beta,7,6,0.6172,0.5705,0.21589317917823792,0.28138187527656555,0.23373034354037409,0.21966182650266886,15.550473165512084,successful
splm_optimizer__hinge_loss__2021_06_24__17_38_15,50,1000,10,20,step_beta,7,7,0.6172,0.5705,0.21844559907913208,0.28307226300239563,0.23723186195356732,0.22358363636786815,15.39560832977295,successful
splm_optimizer__hinge_loss__2021_06_24__17_43_53,50,1000,10,20,step_beta,7,8,0.6172,0.5705,0.22131267189979553,0.2827862799167633,0.23887245838779217,0.22532674887808693,15.652071797847748,successful
splm_optimizer__hinge_loss__2021_06_24__17_49_36,50,1000,10,20,step_beta,7,9,0.6172,0.5705,0.21901828050613403,0.27937784790992737,0.23949450504254252,0.22592633525361072,15.814691865444184,successful
splm_optimizer__hinge_loss__2021_06_24__17_55_22,50,1000,10,20,step_beta,8,10,0.6172,0.5705,0.23550793528556824,0.2904619872570038,0.2166034456919954,0.19964262964822022,15.454010510444641,successful
splm_optimizer__hinge_loss__2021_06_24__18_01_01,50,1000,10,20,step_beta,8,1,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.716139554977417,successful
splm_optimizer__hinge_loss__2021_06_24__18_06_46,50,1000,10,20,step_beta,8,2,0.6172,0.5705,0.2385639250278473,0.2904619872570038,2.330740552822053,2.9478465437965955,15.679801201820373,successful
splm_optimizer__hinge_loss__2021_06_24__18_12_30,50,1000,10,20,step_beta,8,3,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.4941200073695784,0.6433967183996658,15.603235483169556,successful
splm_optimizer__hinge_loss__2021_06_24__18_18_12,50,1000,10,20,step_beta,8,4,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.24835049124467373,0.29296619051687517,15.368013763427735,successful
splm_optimizer__hinge_loss__2021_06_24__18_23_50,50,1000,10,20,step_beta,8,5,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.2034911117983439,0.20481240017748573,15.638426005840302,successful
splm_optimizer__hinge_loss__2021_06_24__18_29_33,50,1000,10,20,step_beta,8,6,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.2001678173660833,0.18724404710454784,15.63305834531784,successful
splm_optimizer__hinge_loss__2021_06_24__18_35_16,50,1000,10,20,step_beta,8,7,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.2043267425904003,0.18767076541072028,15.790216207504272,successful
splm_optimizer__hinge_loss__2021_06_24__18_41_01,50,1000,10,20,step_beta,8,8,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.20913874129579768,0.1917532680920933,16.18810008764267,successful
splm_optimizer__hinge_loss__2021_06_24__18_46_56,50,1000,10,20,step_beta,8,9,0.6172,0.5705,0.23822709918022156,0.2904619872570038,0.21326335396882704,0.19598642668264962,15.503423500061036,successful
splm_optimizer__hinge_loss__2021_06_24__18_52_35,50,1000,10,20,step_beta,9,10,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.18270166285025108,0.18781731524027104,15.712743484973908,successful
splm_optimizer__hinge_loss__2021_06_24__18_58_19,50,1000,10,20,step_beta,9,1,0.6172,0.5705,0.2385639250278473,0.2904619872570038,347.95367280446055,381.8876468948247,15.39613380432129,successful
splm_optimizer__hinge_loss__2021_06_24__19_03_57,50,1000,10,20,step_beta,9,2,0.6172,0.5705,0.2385639250278473,0.2904619872570038,5.074745694377431,6.304717421071625,15.671175706386567,successful
splm_optimizer__hinge_loss__2021_06_24__19_09_40,50,1000,10,20,step_beta,9,3,0.6172,0.5705,0.2385639250278473,0.2904619872570038,1.2804406278644394,1.6398847923429423,16.04014879465103,successful
splm_optimizer__hinge_loss__2021_06_24__19_15_32,50,1000,10,20,step_beta,9,4,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.6105748949577382,0.7955701999828932,15.306136226654052,successful
splm_optimizer__hinge_loss__2021_06_24__19_21_07,50,1000,10,20,step_beta,9,5,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.3851313664938127,0.4989893507782232,16.17547141313553,successful
splm_optimizer__hinge_loss__2021_06_24__19_27_01,50,1000,10,20,step_beta,9,6,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.2847611194236769,0.358633433466161,15.336881685256959,successful
splm_optimizer__hinge_loss__2021_06_24__19_32_37,50,1000,10,20,step_beta,9,7,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.23413436153162656,0.28161254078604586,15.586908257007599,successful
splm_optimizer__hinge_loss__2021_06_24__19_38_19,50,1000,10,20,step_beta,9,8,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.20674086002433092,0.235565743986395,15.151016771793365,successful
splm_optimizer__hinge_loss__2021_06_24__19_43_52,50,1000,10,20,step_beta,9,9,0.6172,0.5705,0.2385639250278473,0.2904619872570038,0.19126925219444796,0.20634623717355968,15.817686867713928,successful
splm_optimizer__hinge_loss__2021_06_25__19_22_40,50,1000,20,20,step_beta,2,3,0.4985,0.46599999999999997,0.862453281879425,0.8692633509635925,0.006110186766236393,0.004899067164618356,15.204793000221253,successful
splm_optimizer__hinge_loss__2021_06_25__17_44_50,50,1000,20,20,step_beta,10,10,0.6188,0.5715,0.5548184514045715,0.6131933927536011,0.11661399834389449,0.09646363919325286,15.505064535140992,successful
splm_optimizer__hinge_loss__2021_06_25__17_50_30,50,1000,20,20,step_beta,10,1,0.6188,0.5715,0.23308777809143066,0.2854269742965698,0.24054762143012928,0.2315534994419767,15.285254049301148,successful
splm_optimizer__hinge_loss__2021_06_25__17_56_06,50,1000,20,20,step_beta,10,2,0.6188,0.5715,0.22708167135715485,0.2816287577152252,0.23206894421498403,0.2117349390909601,15.334057700634002,successful
splm_optimizer__hinge_loss__2021_06_25__18_01_43,50,1000,20,20,step_beta,10,3,0.6188,0.5715,0.3106236457824707,0.371515154838562,0.19177283499217337,0.16787840503000787,15.078752517700195,successful
splm_optimizer__hinge_loss__2021_06_25__18_07_14,50,1000,20,20,step_beta,10,4,0.6188,0.5715,0.38872236013412476,0.45541536808013916,0.16397452377414912,0.1401232783364886,15.207385218143463,successful
splm_optimizer__hinge_loss__2021_06_25__18_12_48,50,1000,20,20,step_beta,10,5,0.6188,0.5715,0.4444340765476227,0.5109347701072693,0.1467743869167667,0.12381895686658677,14.936152231693267,successful
splm_optimizer__hinge_loss__2021_06_25__18_18_16,50,1000,20,20,step_beta,10,6,0.6188,0.5715,0.48301929235458374,0.5474308133125305,0.13581123907205803,0.11374668294218983,15.324264788627625,successful
splm_optimizer__hinge_loss__2021_06_25__18_23_53,50,1000,20,20,step_beta,10,7,0.6188,0.5715,0.5099467039108276,0.5722318291664124,0.1284785815786694,0.10711048265746205,15.232934629917144,successful
splm_optimizer__hinge_loss__2021_06_25__18_29_28,50,1000,20,20,step_beta,10,8,0.6188,0.5715,0.5294299125671387,0.5898917317390442,0.12331713290015392,0.10247037821347427,15.391815936565399,successful
splm_optimizer__hinge_loss__2021_06_25__18_35_06,50,1000,20,20,step_beta,10,9,0.6188,0.5715,0.5439932346343994,0.6030520796775818,0.1195214617469442,0.09906238376488405,15.211878955364227,successful
splm_optimizer__hinge_loss__2021_06_25__18_42_22,50,1000,20,20,step_beta,1,1,0.6188,0.5715,0.23308777809143066,0.2854269742965698,0.24054762143012928,0.2315534994419767,15.126627707481385,successful
splm_optimizer__hinge_loss__2021_06_25__19_11_35,50,1000,20,20,step_beta,2,1,0.6188,0.5715,0.23308777809143066,0.2854269742965698,0.24054762143012928,0.2315534994419767,14.877733170986176,successful
splm_optimizer__hinge_loss__2021_06_25__19_17_02,50,1000,20,20,step_beta,2,2,0.5569999999999999,0.524,0.8481967449188232,0.8579264879226685,0.010417504059067289,0.008411169570405984,15.358762013912202,successful
splm_optimizer__hinge_loss__2021_06_25__19_56_17,50,1000,20,20,step_beta,3,1,0.6188,0.5715,0.23308777809143066,0.2854269742965698,0.24054762143012928,0.2315534994419767,15.116068398952484,successful
splm_optimizer__hinge_loss__2021_06_25__20_01_49,50,1000,20,20,step_beta,3,2,0.6083000000000001,0.5645,0.8125048875808716,0.8297346234321594,0.021577685387811237,0.01739272759842175,15.352733767032623,successful
splm_optimizer__hinge_loss__2021_06_25__20_07_26,50,1000,20,20,step_beta,3,3,0.5757000000000001,0.536,0.8401449918746948,0.8516000509262085,0.012631872045515294,0.010209438351824352,15.095526397228241,successful
splm_optimizer__hinge_loss__2021_06_25__20_12_58,50,1000,20,20,step_beta,3,4,0.5593,0.526,0.8481279015541077,0.857896625995636,0.010141872200263953,0.008189230907452919,15.058977472782136,successful
splm_optimizer__hinge_loss__2021_06_25__20_18_29,50,1000,20,20,step_beta,3,5,0.549,0.5155000000000001,0.8519084453582764,0.860879123210907,0.008998701693982848,0.007258022111873356,15.310289359092712,successful
